id,name,hex,hue,examples,synonyms
0,Crimson,#dc143c,348,"Ripe cherries, Rose petals, Fire truck, Apple skin, Red wine, Cranberries, Valentine's roses, Stop sign","Deep Red, Blood Red, Cherry Red"
1,Scarlet,#ff2400,8,"Strawberries, Cardinal bird, Red lipstick, Tomatoes, Red peppers, Ladybug, Fire engine, Red maple leaves","Bright Red, Fire Red, Vermillion"
2,Coral,#ff7f50,16,"Coral reef, Sunset clouds, Peach fruit, Salmon flesh, Papaya, Hibiscus flower, Flamingo feathers, Terracotta pots","Salmon, Peach, Apricot"
3,Orange,#ffa500,39,"Orange fruit, Autumn leaves, Basketball, Pumpkin, Carrot, Tiger fur, Traffic cones, Monarch butterfly","Amber, Burnt Orange, Rust"
4,Tangerine,#ff8c00,33,"Tangerine fruit, Marigold flowers, Safety cone, Persimmon, Orange bell pepper, Goldfish, Sunset, Clementine","Mandarin, Pumpkin Orange, Flame"
5,Gold,#ffd700,51,"Gold jewelry, Sunflower petals, Honey, Corn kernels, Banana peel, Wheat fields, Golden retriever, Daffodils","Golden Yellow, Amber, Honey"
6,Yellow,#ffff00,60,"Lemon, Taxi cab, Banana, Sunflower center, Butter, Canary bird, School bus, Corn on the cob","Lemon Yellow, Canary, Sunshine"
7,Chartreuse,#7fff00,90,"Tennis ball, Lime zest, Spring leaves, Green apple, Kiwi fruit, Parrot feathers, Highlighter, Young grass","Yellow Green, Lime Green, Electric Green"
8,Lime,#32cd32,120,"Lime fruit, Fresh grass, Emerald gem, Green grapes, Basil leaves, Tree frog, Mint leaves, Cucumber skin","Bright Green, Vivid Green, Spring Green"
9,Forest Green,#228b22,120,"Pine trees, Moss, Jade stone, Spinach, Broccoli, Evergreen needles, Avocado skin, Pickle","Dark Green, Hunter Green, Emerald"
10,Teal,#008080,180,"Turquoise stone, Peacock feathers, Ocean water, Duck egg, Patina copper, Eucalyptus leaves, Teal duck, Amazonite","Blue Green, Turquoise, Aqua"
11,Cyan,#00ffff,180,"Swimming pool, Tropical sea, Aquamarine gem, Blue raspberry, Iceberg, Bluebird egg, Toothpaste, Mouthwash","Aqua, Electric Blue, Bright Turquoise"
12,Sky Blue,#87ceeb,197,"Clear sky, Robin's egg, Sapphire, Forget-me-not, Blue jay, Cornflower, Baby boy items, Bluebell flower","Light Blue, Baby Blue, Powder Blue"
13,Royal Blue,#4169e1,225,"Royal robe, Bluebird, Denim jeans, Blue iris, Cobalt glass, Police uniform, Smurf, Blue morpho butterfly","Cobalt Blue, True Blue, Imperial Blue"
14,Navy,#000080,240,"Navy uniform, Midnight sky, Blueberry, Dark denim, Sapphire, Night ocean, Blackberry, Formal suit","Dark Blue, Midnight Blue, Deep Blue"
15,Indigo,#4b0082,275,"Indigo dye, Eggplant, Purple grapes, Twilight sky, Plum skin, Blackcurrant, Amethyst, Violet flower","Blue Purple, Deep Purple, Violet"
16,Purple,#800080,300,"Amethyst crystal, Lavender flowers, Plum fruit, Purple cabbage, Violet petals, Grape juice, Orchid, Purple onion","Violet, Plum, Royal Purple"
17,Magenta,#ff00ff,300,"Fuchsia flower, Pink flamingo, Magenta ink, Dragon fruit, Bougainvillea, Petunia, Highlighter, Party decorations","Fuchsia, Hot Pink, Electric Pink"
18,Rose,#ff007f,330,"Rose flower, Pink sunset, Carnation, Watermelon flesh, Pink grapefruit, Hibiscus, Raspberry, Strawberry milk","Pink, Blush, Dusty Rose"
19,Hot Pink,#ff69b4,330,"Pink flamingo, Bubble gum, Cherry blossom, Cotton candy, Pink roses, Peony flower, Barbie pink, Watermelon interior","Bright Pink, Neon Pink, Bubble Gum Pink"
